"","locus","counts","chr","start","end","width","erv.call"
"CNV_chr2_151734001-151749000","CNV_chr2_151734001-151749000",163,"chr2",151734001,151749000,14999,"cPa260"
"CNV_chr1_559501-579000","CNV_chr1_559501-579000",39,"chr1",559501,579000,19499,"cPa446_cPa260"
"CNV_chr1_4829401-4837200","CNV_chr1_4829401-4837200",7,"chr1",4829401,4837200,7799,"cPa268_cPa516_cPa15_cPa125_cPa118_cPa264_cPa248_cPa140_cPa61_cPa443_cPa410_cPa425_cPa254_cPa119_cPa404_cPa174"
"CNV_chr1_4916101-4930800","CNV_chr1_4916101-4930800",14,"chr1",4916101,4930800,14699,"cPa410_cPa425_cPa516_cPa264_cPa268_cPa61_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa308"
"CNV_chr1_5563501-5572800","CNV_chr1_5563501-5572800",6,"chr1",5563501,5572800,9299,"cPa425_cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa61_cPa404_cPa47_cPa119_cPa174_cPa254_cPa176"
"CNV_chr1_13069201-13072800","CNV_chr1_13069201-13072800",3,"chr1",13069201,13072800,3599,"cPa542_cPa345_cPa227"
"CNV_chr1_22926601-22936500","CNV_chr1_22926601-22936500",59,"chr1",22926601,22936500,9899,"cPa4_cPa18_cPa541_cPa14_cPa133"
"CNV_chr1_26325301-26331900","CNV_chr1_26325301-26331900",4,"chr1",26325301,26331900,6599,"cPa425_cPa254_cPa47_cPa404_cPa174_cPa392"
"CNV_chr1_31463401-31471800","CNV_chr1_31463401-31471800",200,"chr1",31463401,31471800,8399,"cPa60_cPa285_cPa546_cPa232"
"CNV_chr1_32302501-32308200","CNV_chr1_32302501-32308200",10,"chr1",32302501,32308200,5699,"cPa510_cPa515_cPa127_cPa540"
"CNV_chr1_43506301-43516500","CNV_chr1_43506301-43516500",41,"chr1",43506301,43516500,10199,"cPa47_cPa254_cPa425_cPa199_cPa515_cPa127_cPa540_cPa290_cPa11_cPa241_cPa530_cPa531"
"CNV_chr1_43595401-43604700","CNV_chr1_43595401-43604700",168,"chr1",43595401,43604700,9299,"cPa47_cPa254_cPa425_cPa199_cPa404_cPa174_cPa392_cPa118"
"CNV_chr1_43952101-43962900","CNV_chr1_43952101-43962900",206,"chr1",43952101,43962900,10799,"cPa199_cPa273_cPa220_cPa190_cPa104"
"CNV_chr1_44791501-44796000","CNV_chr1_44791501-44796000",6,"chr1",44791501,44796000,4499,"cPa345_cPa150_cPa302_cPa246_cPa435_cPa518"
"CNV_chr1_44952901-44963700","CNV_chr1_44952901-44963700",76,"chr1",44952901,44963700,10799,"cPa345_cPa541_cPa14_cPa4_cPa133_cPa188"
"CNV_chr1_52022101-52028700","CNV_chr1_52022101-52028700",7,"chr1",52022101,52028700,6599,"cPa61_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa404_cPa254_cPa47_cPa119_cPa174"
"CNV_chr1_53379901-53384700","CNV_chr1_53379901-53384700",10,"chr1",53379901,53384700,4799,"cPa268_cPa248_cPa118_cPa140_cPa15_cPa223_cPa425_cPa47_cPa254_cPa264_cPa125_cPa404_cPa174_cPa443_cPa119_cPa392"
"CNV_chr1_56018101-56028000","CNV_chr1_56018101-56028000",69,"chr1",56018101,56028000,9899,"cPa220_cPa18_cPa4_cPa190"
"CNV_chr1_60167701-60175500","CNV_chr1_60167701-60175500",58,"chr1",60167701,60175500,7799,"cPa392_cPa404_cPa174_cPa47_cPa254_cPa425"
"CNV_chr1_63450301-63453900","CNV_chr1_63450301-63453900",23,"chr1",63450301,63453900,3599,"cPa391_cPa287_cPa293_cPa426_cPa182_cPa386_cPa20_cPa427"
"CNV_chr1_72792901-72796500","CNV_chr1_72792901-72796500",3,"chr1",72792901,72796500,3599,"cPa62"
"CNV_chr1_76582201-76585200","CNV_chr1_76582201-76585200",16,"chr1",76582201,76585200,2999,"cPa268_cPa118_cPa125_cPa264_cPa248_cPa140_cPa15_cPa199_cPa345"
"CNV_chr1_93255601-93258900","CNV_chr1_93255601-93258900",6,"chr1",93255601,93258900,3299,"cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa425_cPa254_cPa47_cPa119_cPa404_cPa174"
"CNV_chr1_112435801-112450500","CNV_chr1_112435801-112450500",12,"chr1",112435801,112450500,14699,"cPa199_cPa356"
"CNV_chr3_14461801-14476800","CNV_chr3_14461801-14476800",7,"chr3",14461801,14476800,14999,"cPa61_cPa50_cPa333_cPa223_cPa264_cPa125_cPa357_cPa227_cPa273"
"CNV_chr3_63027301-63043500","CNV_chr3_63027301-63043500",47,"chr3",63027301,63043500,16199,"cPa199_cPa515_cPa127_cPa540_cPa290_cPa531_cPa11_cPa241_cPa530"
"CNV_chr3_65905201-65919000","CNV_chr3_65905201-65919000",1,"chr3",65905201,65919000,13799,"cPa199_cPa345"
"CNV_chr3_70149901-70156200","CNV_chr3_70149901-70156200",45,"chr3",70149901,70156200,6299,"cPa199_cPa268_cPa443_cPa118_cPa125_cPa264_cPa61_cPa248_cPa140_cPa15_cPa516_cPa254_cPa404_cPa119_cPa174"
"CNV_chr3_74682901-74689200","CNV_chr3_74682901-74689200",5,"chr3",74682901,74689200,6299,"cPa443_cPa264_cPa61_cPa248_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119"
"CNV_chr3_79160401-79170600","CNV_chr3_79160401-79170600",21,"chr3",79160401,79170600,10199,"cPa246_cPa150_cPa302_cPa387_cPa518"
"CNV_chr3_79954201-79964100","CNV_chr3_79954201-79964100",42,"chr3",79954201,79964100,9899,"cPa443_cPa118_cPa15_cPa223_cPa545_cPa247_cPa95_cPa133"
"CNV_chr3_80196901-80206500","CNV_chr3_80196901-80206500",203,"chr3",80196901,80206500,9599,"cPa223_cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa530_cPa127_cPa540_cPa290_cPa11_cPa531"
"CNV_chr3_86357701-86374800","CNV_chr3_86357701-86374800",17,"chr3",86357701,86374800,17099,"cPa227_cPa61"
"CNV_chr3_91956901-91963200","CNV_chr3_91956901-91963200",9,"chr3",91956901,91963200,6299,"cPa254_cPa47_cPa425_cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119"
"CNV_chr3_94673401-94690800","CNV_chr3_94673401-94690800",143,"chr3",94673401,94690800,17399,"cPa199_cPa255_cPa256_cPa479_cPa131_cPa216_cPa478_cPa438"
"CNV_chr3_94831201-94842300","CNV_chr3_94831201-94842300",35,"chr3",94831201,94842300,11099,"cPa199_cPa256_cPa60_cPa546_cPa257_cPa285_cPa130_cPa555"
"CNV_chr3_97199101-97210200","CNV_chr3_97199101-97210200",24,"chr3",97199101,97210200,11099,"cPa219_cPa258_cPa220_cPa104_cPa190"
"CNV_chr3_99254701-99261000","CNV_chr3_99254701-99261000",5,"chr3",99254701,99261000,6299,"cPa443_cPa264_cPa248_cPa140_cPa15_cPa125_cPa516_cPa268_cPa118_cPa61_cPa119_cPa404_cPa174_cPa425_cPa47"
"CNV_chr3_100679101-100689900","CNV_chr3_100679101-100689900",157,"chr3",100679101,100689900,10799,"cPa438_cPa255_cPa131_cPa216"
"CNV_chr3_104346001-104357700","CNV_chr3_104346001-104357700",14,"chr3",104346001,104357700,11699,"cPa220_cPa190_cPa104_cPa219_cPa258"
"CNV_chr3_107075101-107077500","CNV_chr3_107075101-107077500",8,"chr3",107075101,107077500,2399,"cPa332"
"CNV_chr3_110089501-110097900","CNV_chr3_110089501-110097900",1,"chr3",110089501,110097900,8399,"cPa248_cPa443_cPa118_cPa424_cPa327_cPa16_cPa260"
"CNV_chr3_111367501-111383100","CNV_chr3_111367501-111383100",3,"chr3",111367501,111383100,15599,"cPa268_cPa61_cPa443_cPa264_cPa248_cPa118_cPa140_cPa15_cPa125_cPa516"
"CNV_chr3_112195201-112209000","CNV_chr3_112195201-112209000",73,"chr3",112195201,112209000,13799,"cPa61_cPa223_cPa229_cPa449_cPa183_cPa424_cPa327"
"CNV_chrZ_2554801-2564100","CNV_chrZ_2554801-2564100",5,"chrZ",2554801,2564100,9299,"cPa125_cPa438_cPa479_cPa255_cPa131_cPa478"
"CNV_chrZ_2579401-2590800","CNV_chrZ_2579401-2590800",55,"chrZ",2579401,2590800,11399,"cPa125_cPa478_cPa479_cPa255_cPa131"
"CNV_chrZ_3240301-3255300","CNV_chrZ_3240301-3255300",38,"chrZ",3240301,3255300,14999,"cPa443_cPa256_cPa101"
"CNV_chrZ_3695401-3705000","CNV_chrZ_3695401-3705000",35,"chrZ",3695401,3705000,9599,"cPa443_cPa199_cPa515_cPa290_cPa127_cPa540_cPa11_cPa241_cPa530_cPa531"
"CNV_chrZ_3729901-3740700","CNV_chrZ_3729901-3740700",8,"chrZ",3729901,3740700,10799,"cPa443_cPa518_cPa205_cPa390_cPa444"
"CNV_chrZ_3743401-3746700","CNV_chrZ_3743401-3746700",4,"chrZ",3743401,3746700,3299,"cPa443_cPa390_cPa62"
"CNV_chrZ_4753501-4765200","CNV_chrZ_4753501-4765200",3,"chrZ",4753501,4765200,11699,"cPa61_cPa410"
"CNV_chrZ_4953901-4966200","CNV_chrZ_4953901-4966200",105,"chrZ",4953901,4966200,12299,"cPa541_cPa14_cPa4_cPa133_cPa188"
"CNV_chrZ_5237701-5251200","CNV_chrZ_5237701-5251200",2,"chrZ",5237701,5251200,13499,"cPa529_cPa545_cPa95_cPa247"
"CNV_chrZ_8304901-8317800","CNV_chrZ_8304901-8317800",102,"chrZ",8304901,8317800,12899,"cPa201_cPa109_cPa106_cPa118_cPa264_cPa248_cPa140_cPa15_cPa125_cPa516_cPa268_cPa381_cPa582_cPa356"
"CNV_chrZ_8334601-8342400","CNV_chrZ_8334601-8342400",57,"chrZ",8334601,8342400,7799,"cPa201_cPa109_cPa106_cPa118_cPa264_cPa248_cPa140_cPa15_cPa125_cPa516_cPa268_cPa381_cPa356_cPa152_cPa505"
"CNV_chrZ_10977301-10989900","CNV_chrZ_10977301-10989900",9,"chrZ",10977301,10989900,12599,"cPa268_cPa74"
"CNV_chrZ_12409801-12421500","CNV_chrZ_12409801-12421500",149,"chrZ",12409801,12421500,11699,"cPa563_cPa526_cPa463_cPa438"
"CNV_chrZ_14135101-14138100","CNV_chrZ_14135101-14138100",4,"chrZ",14135101,14138100,2999,"cPa332"
"CNV_chrZ_25868701-25875300","CNV_chrZ_25868701-25875300",16,"chrZ",25868701,25875300,6599,"cPa404_cPa174_cPa47_cPa254_cPa425_cPa61_cPa118_cPa264_cPa248_cPa443_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119"
"CNV_chrZ_27653701-27661800","CNV_chrZ_27653701-27661800",66,"chrZ",27653701,27661800,8099,"cPa264_cPa140_cPa268_cPa183_cPa61_cPa395_cPa327_cPa424_cPa308_cPa248_cPa443_cPa118_cPa15_cPa125_cPa516_cPa205"
"CNV_chrZ_29418901-29427900","CNV_chrZ_29418901-29427900",8,"chrZ",29418901,29427900,8999,"cPa183_cPa61_cPa205_cPa363_cPa452_cPa390_cPa345_cPa201_cPa444_cPa67_cPa194"
"CNV_chrZ_29701201-29719500","CNV_chrZ_29701201-29719500",4,"chrZ",29701201,29719500,18299,"cPa363_cPa452_cPa345_cPa201_cPa456_cPa390_cPa205_cPa61_cPa50_cPa323_cPa333_cPa339_cPa502_cPa353_cPa505_cPa109_cPa152"
"CNV_chrZ_32071501-32085000","CNV_chrZ_32071501-32085000",32,"chrZ",32071501,32085000,13499,"cPa510_cPa511"
"CNV_chrZ_36000901-36006900","CNV_chrZ_36000901-36006900",11,"chrZ",36000901,36006900,5999,"cPa125_cPa443_cPa516_cPa264_cPa268_cPa248_cPa118_cPa140_cPa15_cPa254_cPa47_cPa119_cPa404_cPa174"
"CNV_chrZ_36975301-36981000","CNV_chrZ_36975301-36981000",6,"chrZ",36975301,36981000,5699,"cPa223_cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa119"
"CNV_chrZ_39343501-39355500","CNV_chrZ_39343501-39355500",38,"chrZ",39343501,39355500,11999,"cPa61_cPa526_cPa463"
"CNV_chrZ_39651601-39664800","CNV_chrZ_39651601-39664800",63,"chrZ",39651601,39664800,13199,"cPa527"
"CNV_chrZ_41562001-41571000","CNV_chrZ_41562001-41571000",10,"chrZ",41562001,41571000,8999,"cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa587_cPa529_cPa545_cPa133"
"CNV_chrZ_42649201-42658200","CNV_chrZ_42649201-42658200",69,"chrZ",42649201,42658200,8999,"cPa530_cPa515_cPa127_cPa540_cPa290_cPa11_cPa241_cPa531"
"CNV_chrZ_42661201-42665100","CNV_chrZ_42661201-42665100",69,"chrZ",42661201,42665100,3899,"cPa540_cPa290_cPa11_cPa241_cPa515_cPa127_cPa530_cPa531"
"CNV_chrZ_49874701-49884300","CNV_chrZ_49874701-49884300",16,"chrZ",49874701,49884300,9599,"cPa515_cPa127_cPa540_cPa290_cPa11_cPa241_cPa530_cPa531"
"CNV_chrZ_50541301-50550000","CNV_chrZ_50541301-50550000",54,"chrZ",50541301,50550000,8699,"cPa515_cPa199_cPa542_cPa450_cPa273"
"CNV_chrZ_51780901-51792000","CNV_chrZ_51780901-51792000",33,"chrZ",51780901,51792000,11099,"cPa543_cPa544"
"CNV_chrZ_52221601-52231800","CNV_chrZ_52221601-52231800",19,"chrZ",52221601,52231800,10199,"cPa544_cPa107"
"CNV_chrZ_53071201-53081400","CNV_chrZ_53071201-53081400",5,"chrZ",53071201,53081400,10199,"cPa60_cPa130_cPa546_cPa257_cPa285_cPa518"
"CNV_chrZ_53320201-53331600","CNV_chrZ_53320201-53331600",72,"chrZ",53320201,53331600,11399,"cPa518_cPa549"
"CNV_chrZ_54949801-54961200","CNV_chrZ_54949801-54961200",18,"chrZ",54949801,54961200,11399,"cPa50_cPa333_cPa551_cPa145"
"CNV_chrZ_59233501-59242200","CNV_chrZ_59233501-59242200",55,"chrZ",59233501,59242200,8699,"cPa554"
"CNV_chrZ_63002101-63013200","CNV_chrZ_63002101-63013200",41,"chrZ",63002101,63013200,11099,"cPa152_cPa201_cPa505_cPa109_cPa563_cPa463_cPa438"
"CNV_chrZ_64210801-64223100","CNV_chrZ_64210801-64223100",3,"chrZ",64210801,64223100,12299,"cPa61_cPa357_cPa67_cPa194_cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119"
"CNV_chrZ_64497601-64514400","CNV_chrZ_64497601-64514400",32,"chrZ",64497601,64514400,16799,"cPa264_cPa118_cPa15_cPa516_cPa194_cPa268_cPa248_cPa443_cPa140_cPa125_cPa425_cPa254_cPa119_cPa404_cPa174"
"CNV_chrZ_71270701-71275500","CNV_chrZ_71270701-71275500",6,"chrZ",71270701,71275500,4799,"cPa315"
"CNV_chrZ_71602501-71610600","CNV_chrZ_71602501-71610600",4,"chrZ",71602501,71610600,8099,"cPa575_cPa398"
"CNV_chr1A_456601-472500","CNV_chr1A_456601-472500",48,"chr1A",456601,472500,15899,"cPa260"
"CNV_chr1A_924301-938400","CNV_chr1A_924301-938400",11,"chr1A",924301,938400,14099,"cPa75_cPa260"
"CNV_chr1A_1403401-1425900","CNV_chr1A_1403401-1425900",38,"chr1A",1403401,1425900,22499,"cPa227_cPa16_cPa450_cPa260"
"CNV_chr1A_4510501-4523400","CNV_chr1A_4510501-4523400",103,"chr1A",4510501,4523400,12899,"cPa492"
"CNV_chr1A_4973101-4989600","CNV_chr1A_4973101-4989600",10,"chr1A",4973101,4989600,16499,"cPa152"
"CNV_chr1A_6693001-6696300","CNV_chr1A_6693001-6696300",1,"chr1A",6693001,6696300,3299,"cPa424"
"CNV_chr1A_10641601-10652700","CNV_chr1A_10641601-10652700",206,"chr1A",10641601,10652700,11099,"cPa95_cPa545_cPa247_cPa133"
"CNV_chr1A_15270901-15283200","CNV_chr1A_15270901-15283200",149,"chr1A",15270901,15283200,12299,"cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa530_cPa515_cPa127_cPa540_cPa290_cPa531_cPa11_cPa241"
"CNV_chr1A_17610601-17623500","CNV_chr1A_17610601-17623500",260,"chr1A",17610601,17623500,12899,"cPa95_cPa545_cPa526_cPa247"
"CNV_chr1A_17670901-17680800","CNV_chr1A_17670901-17680800",1,"chr1A",17670901,17680800,9899,"cPa95_cPa545_cPa247_cPa133_cPa18"
"CNV_chr1A_27660601-27672000","CNV_chr1A_27660601-27672000",10,"chr1A",27660601,27672000,11399,"cPa199_cPa425_cPa404_cPa174_cPa47_cPa254_cPa118_cPa119_cPa264"
"CNV_chr1A_29768401-29778900","CNV_chr1A_29768401-29778900",64,"chr1A",29768401,29778900,10499,"cPa256_cPa101"
"CNV_chr1A_30894301-30900600","CNV_chr1A_30894301-30900600",38,"chr1A",30894301,30900600,6299,"cPa264_cPa61_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119_cPa404_cPa174_cPa254"
"CNV_chr1A_32424001-32431200","CNV_chr1A_32424001-32431200",35,"chr1A",32424001,32431200,7199,"cPa425_cPa47_cPa254_cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa61_cPa404_cPa174_cPa119"
"CNV_chr1A_40438201-40448700","CNV_chr1A_40438201-40448700",6,"chr1A",40438201,40448700,10499,"cPa220_cPa190_cPa104_cPa18_cPa219_cPa258"
"CNV_chr1A_41267401-41273400","CNV_chr1A_41267401-41273400",49,"chr1A",41267401,41273400,5999,"cPa425_cPa47_cPa254"
"CNV_chr1A_53943301-53949900","CNV_chr1A_53943301-53949900",3,"chr1A",53943301,53949900,6599,"cPa268_cPa15_cPa264_cPa248_cPa140_cPa443_cPa118_cPa125_cPa516_cPa107_cPa199_cPa223_cPa152_cPa109_cPa505_cPa201_cPa106"
"CNV_chr1A_54049801-54062100","CNV_chr1A_54049801-54062100",3,"chr1A",54049801,54062100,12299,"cPa15_cPa268_cPa443_cPa199_cPa223_cPa109_cPa201_cPa313_cPa264_cPa248_cPa118_cPa140_cPa125_cPa516_cPa419_cPa183"
"CNV_chr1A_56193901-56202600","CNV_chr1A_56193901-56202600",2,"chr1A",56193901,56202600,8699,"cPa268_cPa223_cPa443_cPa118_cPa125_cPa264_cPa248_cPa140_cPa15_cPa516_cPa273_cPa75_cPa357"
"CNV_chr1A_56309701-56317800","CNV_chr1A_56309701-56317800",3,"chr1A",56309701,56317800,8099,"cPa268_cPa223_cPa273_cPa118_cPa264_cPa248_cPa443_cPa140_cPa15_cPa125_cPa516_cPa67_cPa227"
"CNV_chr1A_60512701-60524100","CNV_chr1A_60512701-60524100",1,"chr1A",60512701,60524100,11399,"cPa482"
"CNV_chr1A_61120801-61131000","CNV_chr1A_61120801-61131000",2,"chr1A",61120801,61131000,10199,"cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa113_cPa332"
"CNV_chr1A_65267401-65282700","CNV_chr1A_65267401-65282700",26,"chr1A",65267401,65282700,15299,"HERV-W_repbase_HERV17_LTR17"
"CNV_chr4_1293601-1310700","CNV_chr4_1293601-1310700",51,"chr4",1293601,1310700,17099,"cPa75"
"CNV_chr4_24656101-24662400","CNV_chr4_24656101-24662400",4,"chr4",24656101,24662400,6299,"cPa268_cPa516_cPa264_cPa248_cPa118_cPa140_cPa15_cPa125_cPa61_cPa443_cPa425_cPa254_cPa47_cPa119_cPa404_cPa174"
"CNV_chr4_25095001-25104300","CNV_chr4_25095001-25104300",37,"chr4",25095001,25104300,9299,"cPa199_cPa220_cPa104_cPa219_cPa258_cPa190"
"CNV_chr4_26835001-26838600","CNV_chr4_26835001-26838600",11,"chr4",26835001,26838600,3599,"cPa264_cPa248_cPa443_cPa125_cPa61_cPa118_cPa140_cPa15_cPa516_cPa268_cPa119_cPa174_cPa254"
"CNV_chr4_41396101-41403300","CNV_chr4_41396101-41403300",1,"chr4",41396101,41403300,7199,"cPa450"
"CNV_chr4_60037201-60042000","CNV_chr4_60037201-60042000",19,"chr4",60037201,60042000,4799,"cPa264_cPa268_cPa61_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa254_cPa119_cPa404_cPa174"
"CNV_chr5_3783301-3789600","CNV_chr5_3783301-3789600",99,"chr5",3783301,3789600,6299,"cPa268_cPa223_cPa15_cPa516_cPa273_cPa443_cPa118_cPa125_cPa264_cPa248_cPa140_cPa119"
"CNV_chr5_6416101-6431700","CNV_chr5_6416101-6431700",160,"chr5",6416101,6431700,15599,"cPa515_cPa127_cPa540_cPa290_cPa11_cPa241_cPa531_cPa530_cPa272"
"CNV_chr5_29998801-30005700","CNV_chr5_29998801-30005700",189,"chr5",29998801,30005700,6899,"cPa264_cPa125_cPa61_cPa248_cPa443_cPa118_cPa140_cPa15_cPa516_cPa268_cPa119"
"CNV_chr5_42502201-42509700","CNV_chr5_42502201-42509700",11,"chr5",42502201,42509700,7499,"cPa199_cPa285_cPa257_cPa546_cPa60_cPa555"
"CNV_chr7_495601-505200","CNV_chr7_495601-505200",7,"chr7",495601,505200,9599,"cPa260_cPa248_cPa268_cPa308_cPa196_cPa459_cPa305_cPa433_cPa424_cPa327_cPa125_cPa439_cPa425_cPa95_cPa529_cPa133_cPa246_cPa358_cPa251"
"CNV_chr7_521101-535200","CNV_chr7_521101-535200",21,"chr7",521101,535200,14099,"cPa260_cPa248_cPa268_cPa308_cPa125_cPa196_cPa459_cPa439_cPa305_cPa424_cPa327_cPa433_cPa425_cPa404_cPa174"
"CNV_chr7_1216201-1228200","CNV_chr7_1216201-1228200",4,"chr7",1216201,1228200,11999,"cPa248_cPa268_cPa125_cPa308_cPa424_cPa327_cPa140_cPa15_cPa443_cPa516_cPa264_cPa118_cPa67"
"CNV_chr7_1510801-1517400","CNV_chr7_1510801-1517400",1,"chr7",1510801,1517400,6599,"cPa248_cPa268_cPa308_cPa327_cPa140_cPa15_cPa443_cPa264_cPa125_cPa516_cPa118_cPa410_cPa223"
"CNV_chr7_1525801-1536900","CNV_chr7_1525801-1536900",1,"chr7",1525801,1536900,11099,"cPa248_cPa268_cPa308_cPa327_cPa140_cPa15_cPa443_cPa264_cPa125_cPa516_cPa118_cPa410_cPa223"
"CNV_chr7_1538701-1550700","CNV_chr7_1538701-1550700",3,"chr7",1538701,1550700,11999,"cPa248_cPa268_cPa308_cPa327_cPa140_cPa15_cPa443_cPa264_cPa125_cPa516_cPa118_cPa410_cPa223"
"CNV_chr7_30002701-30012900","CNV_chr7_30002701-30012900",41,"chr7",30002701,30012900,10199,"cPa246_cPa150_cPa302_cPa188"
"CNV_chr7_32983201-32990400","CNV_chr7_32983201-32990400",1,"chr7",32983201,32990400,7199,"cPa199_cPa223"
"CNV_chr7_37464901-37479900","CNV_chr7_37464901-37479900",115,"chr7",37464901,37479900,14999,"cPa424_cPa327_cPa260_cPa486"
"CNV_chr11_3577801-3584400","CNV_chr11_3577801-3584400",53,"chr11",3577801,3584400,6599,"cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa61_cPa119_cPa47"
"CNV_chr11_15024001-15033900","CNV_chr11_15024001-15033900",287,"chr11",15024001,15033900,9899,"cPa190_cPa219_cPa258"
"CNV_chr11_17644501-17656800","CNV_chr11_17644501-17656800",40,"chr11",17644501,17656800,12299,"cPa199_cPa140_cPa248_cPa443_cPa264_cPa118_cPa125_cPa516_cPa268_cPa15_cPa47_cPa425_cPa254_cPa61_cPa205_cPa62_cPa390_cPa444_cPa308_cPa51_cPa552_cPa145"
"CNV_chr11_17881501-17885400","CNV_chr11_17881501-17885400",1,"chr11",17881501,17885400,3899,"cPa199_cPa268_cPa264_cPa248_cPa118_cPa125_cPa542_cPa443_cPa140_cPa15_cPa392_cPa450_cPa56"
"CNV_chr11_20068801-20074500","CNV_chr11_20068801-20074500",1,"chr11",20068801,20074500,5699,"cPa268_cPa248_cPa443_cPa118_cPa140_cPa125_cPa327_cPa486_cPa194"
"CNV_chr13_15710401-15727800","CNV_chr13_15710401-15727800",11,"chr13",15710401,15727800,17399,"cPa199"
"CNV_chr13_15819001-15822300","CNV_chr13_15819001-15822300",4,"chr13",15819001,15822300,3299,"cPa199_cPa356_cPa428"
